Region,Children in poverty,Access to exercise opportunities,Adult obesity,Alcohol-impaired driving deaths,Excessive drinking
South,0.395,0.32,0.357,0.548,0.074
South,0.267,0.857,0.284,0.335,0.156
South,0.256,0.937,0.294,0.335,0.156
South,0.276,0.645,0.3,0.367,0.152
South,0.296,0.868,0.296,0.394,0.152
South,0.255,0.501,0.284,0.435,0.128
South,0.244,0.939,0.27,0.419,0.128
South,0.353,0.833,0.261,0.5,0.129
South,0.389,0.875,0.253,0.529,0.129
South,0.399,0.225,0.371,0.5,0.111
South,0.396,0.629,0.384,0.426,0.111
South,0.289,0.115,0.321,0.375,0.152
South,0.322,0.311,0.313,0.353,0.152
South,0.337,0.054,0.355,0.31,0.114
South,0.36,0.075,0.356,0.25,0.114
South,0.297,0.363,0.311,0.529,0.172
South,0.297,0.472,0.316,0.647,0.172
South,0.376,0.206,0.373,0.625,0.106
South,0.405,0.726,0.386,0.595,0.106
South,0.382,0.49,0.369,0.3,
South,0.387,0.721,0.368,0.378,
South,0.397,0.33,0.344,0.379,0.142
South,0.384,0.537,0.343,0.288,0.142
South,0.288,0.637,0.287,0.209,0.166
South,0.256,0.892,0.294,0.214,0.166
South,0.368,0.69,0.302,0.25,0.115
South,0.334,0.89,0.303,0.262,0.115
South,0.268,0.874,0.268,0.313,0.186
South,0.24,0.952,0.261,0.322,0.186
South,0.346,0.158,0.306,0.25,0.093
South,0.383,0.425,0.315,0.208,0.093
South,0.25,0.713,0.218,0.214,0.197
South,0.241,0.929,0.229,0.202,0.197
South,0.294,0.169,0.339,0.329,0.109
South,0.381,0.42,0.34,0.347,0.109
South,0.324,0.202,0.351,0.265,0.091
South,0.309,0.209,0.356,0.281,0.091
South,0.308,0.095,0.347,0.333,0.077
South,0.325,0.44,0.362,0.417,0.077
South,0.256,0.556,0.291,0.329,0.118
South,0.237,0.93,0.305,0.363,0.118
South,0.257,0.748,0.259,0.227,0.173
South,0.272,0.944,0.259,0.229,0.173
South,0.207,0.837,0.282,0.314,0.188
South,0.226,0.944,0.267,0.302,0.188
South,0.358,0.344,0.337,0.317,0.109
South,0.393,0.763,0.32,0.319,0.109
South,0.314,0.196,0.357,0.444,0.136
South,0.333,0.507,0.369,0.444,0.136
South,0.355,0.465,0.363,0.389,0.127
South,0.421,0.566,0.357,0.361,0.127
South,0.245,0.774,0.251,0.308,0.166
South,0.283,0.94,0.25,0.33,0.166
South,0.33,0.61,0.316,0.31,0.145
South,0.301,0.813,0.31,0.306,0.145
South,0.238,0.784,0.201,0.367,0.172
South,0.206,0.966,0.209,0.368,0.172
South,0.297,0.945,0.218,0.201,0.124
South,0.278,0.989,0.21,0.189,0.124
South,0.208,1.0,0.189,0.37,0.281
South,0.236,1.0,0.197,0.41,0.281
South,0.191,0.577,0.278,0.288,0.138
South,0.204,0.796,0.268,0.246,0.138
South,0.216,0.734,0.285,0.351,0.164
South,0.208,0.908,0.288,0.318,0.164
South,0.379,0.579,0.317,0.388,0.122
South,0.37,0.452,0.337,0.365,0.122
South,0.271,0.792,0.257,0.315,0.16
South,0.26,0.978,0.252,0.294,0.16
South,0.284,0.553,0.29,0.254,0.125
South,0.32,0.903,0.292,0.259,0.125
South,0.227,0.871,0.224,0.302,0.151
South,0.227,0.979,0.224,0.312,0.151
South,0.187,0.756,0.285,0.235,0.197
South,0.192,0.933,0.286,0.233,0.197
South,0.214,0.951,0.238,0.305,0.173
South,0.236,0.996,0.24,0.3,0.173
South,0.275,0.562,0.321,0.256,0.143
South,0.294,0.817,0.307,0.275,0.143
South,0.417,0.548,0.338,0.455,0.144
South,0.428,0.63,0.331,0.444,0.144
South,0.18,0.526,0.28,0.365,0.172
South,0.177,0.816,0.282,0.392,0.172
South,0.215,0.792,0.202,0.3,0.172
South,0.204,0.953,0.206,0.337,0.172
South,0.165,0.863,0.249,0.293,0.203
South,0.173,0.99,0.253,0.284,0.203
South,0.117,0.678,0.226,0.352,0.208
South,0.117,0.971,0.23,0.284,0.208
South,0.286,0.629,0.287,0.26,0.13
South,0.286,0.922,0.298,0.233,0.13
South,0.342,0.35,0.281,0.278,0.107
South,0.335,0.778,0.289,0.263,0.107
South,0.414,0.257,0.31,0.333,0.136
South,0.375,0.517,0.316,0.397,0.136
South,0.322,0.191,0.359,0.452,0.138
South,0.329,0.605,0.365,0.419,0.138
South,0.267,0.204,0.38,0.333,0.145
South,0.27,0.401,0.379,0.222,0.145
South,0.321,0.718,0.258,0.3,0.167
South,0.253,0.909,0.273,0.281,0.167
South,0.228,0.713,0.362,0.469,0.214
South,0.222,0.783,0.371,0.4,0.214
South,0.284,0.379,0.267,0.337,0.183
South,0.299,0.66,0.272,0.347,0.183
South,0.335,0.294,0.364,0.286,0.074
South,0.345,0.409,0.373,0.237,0.074
South,0.348,0.144,0.343,0.333,
South,0.403,0.338,0.347,0.333,
South,0.384,0.001,0.308,0.182,
South,0.384,0.353,0.342,0.222,
South,0.338,0.291,0.308,0.333,
South,0.365,0.607,0.318,0.273,
South,0.415,0.058,0.326,0.429,
South,0.432,0.058,0.319,0.4,
South,0.367,0.419,0.32,0.172,0.148
South,0.402,0.703,0.318,0.207,0.148
South,0.269,0.337,0.282,0.2,
South,0.274,0.422,0.281,0.238,
South,0.204,0.614,0.322,0.127,0.154
South,0.205,0.623,0.329,0.255,0.154
South,0.239,0.628,0.294,0.131,0.134
South,0.254,0.821,0.316,0.158,0.134
South,0.449,0.018,0.334,0.0,
South,0.44,0.434,0.35,0.111,
South,0.359,0.149,0.301,0.364,0.13
South,0.354,0.426,0.324,0.462,0.13
South,0.414,0.612,0.303,0.23,0.102
South,0.446,0.778,0.286,0.219,0.102
South,0.31,0.091,0.301,0.214,
South,0.287,0.766,0.315,0.167,
South,0.33,0.319,0.31,0.25,
South,0.345,0.393,0.318,0.235,
South,0.396,0.18,0.333,0.308,
South,0.379,0.547,0.351,0.263,
South,0.16,0.726,0.283,0.294,0.143
South,0.145,0.802,0.27,0.25,0.143
South,0.312,0.382,0.33,0.129,0.153
South,0.298,0.432,0.325,0.147,0.153
South,0.459,0.149,0.359,0.273,
South,0.46,0.507,0.326,0.341,
South,0.303,0.505,0.336,0.063,
South,0.296,0.527,0.325,0.063,
South,0.4,0.003,0.317,0.0,
South,0.426,0.003,0.331,0.0,
South,0.214,0.365,0.286,0.071,0.156
South,0.227,0.701,0.315,0.122,0.156
South,0.412,0.25,0.32,0.421,
South,0.432,0.528,0.326,0.556,
South,0.264,0.399,0.314,0.187,0.156
South,0.252,0.609,0.306,0.2,0.156
South,0.22,0.549,0.31,0.316,0.134
South,0.229,0.822,0.302,0.324,0.134
South,0.353,0.03,0.315,0.4,
South,0.363,0.788,0.322,0.214,
South,0.314,0.729,0.268,0.247,0.161
South,0.302,0.857,0.279,0.267,0.161
South,0.216,0.0,0.305,0.5,
South,0.244,0.453,0.307,0.333,
South,0.314,0.321,0.328,0.0,
South,0.412,0.491,0.346,0.042,
South,0.132,0.751,0.279,0.2,0.155
South,0.139,0.81,0.262,0.169,0.155
South,0.316,0.83,0.267,0.328,0.121
South,0.384,0.866,0.265,0.328,0.121
South,0.529,0.273,0.336,0.0,
South,0.557,0.305,0.327,0.0,
South,0.41,0.838,0.361,0.169,0.097
South,0.366,0.818,0.375,0.162,0.097
South,0.393,0.051,0.327,0.077,
South,0.398,0.051,0.323,0.182,
South,0.198,0.879,0.234,0.27,0.158
South,0.18,0.885,0.223,0.261,0.158
South,0.371,0.658,0.305,0.12,0.117
South,0.381,0.576,0.322,0.13,0.117
South,0.382,0.58,0.326,0.375,0.125
South,0.371,0.634,0.321,0.289,0.125
South,0.122,0.599,0.264,0.2,0.155
South,0.105,0.714,0.262,0.191,0.155
South,0.362,0.129,0.317,0.267,0.137
South,0.357,0.574,0.293,0.167,0.137
South,0.19,0.336,0.296,0.217,0.153
South,0.194,0.605,0.28,0.231,0.153
South,0.305,0.122,0.307,0.091,
South,0.326,0.136,0.31,0.0,
South,0.519,0.368,0.338,0.12,
South,0.489,0.75,0.331,0.125,
South,0.216,0.466,0.309,0.15,
South,0.218,0.677,0.31,0.059,
South,0.202,0.617,0.275,0.226,0.3
South,0.206,0.932,0.283,0.138,0.3
South,0.332,0.931,0.255,0.224,0.154
South,0.301,0.954,0.264,0.22,0.154
South,0.524,0.598,0.317,0.333,0.128
South,0.407,0.676,0.331,0.308,0.128
South,0.361,0.286,0.358,0.176,
South,0.371,0.483,0.323,0.214,
South,0.403,0.026,0.317,0.214,
South,0.411,0.313,0.334,0.211,
South,0.466,0.585,0.381,0.077,0.124
South,0.445,0.729,0.368,0.083,0.124
South,0.235,0.713,0.346,0.318,0.083
South,0.259,0.754,0.333,0.284,0.083
South,0.51,0.034,0.305,0.4,
South,0.433,0.588,0.298,0.389,
South,0.439,0.002,0.283,0.75,
South,0.45,0.185,0.29,0.667,
South,0.175,0.539,0.31,0.25,0.15
South,0.158,0.478,0.33,0.233,0.15
South,0.315,0.638,0.355,0.32,
South,0.34,0.551,0.338,0.381,
South,0.421,0.189,0.3,0.217,
South,0.496,0.267,0.318,0.217,
South,0.433,0.351,0.348,0.455,
South,0.442,0.635,0.354,0.3,
South,0.346,0.919,0.29,0.27,
South,0.348,0.9,0.279,0.25,
South,0.105,0.8,0.25,0.292,0.133
South,0.099,0.847,0.271,0.29,0.133
South,0.317,0.466,0.274,0.145,0.109
South,0.303,0.735,0.28,0.145,0.109
South,0.076,0.76,0.219,0.338,0.186
South,0.089,0.785,0.249,0.256,0.186
South,0.306,0.458,0.265,0.172,
South,0.314,0.29,0.261,0.179,
South,0.259,0.909,0.229,0.212,0.179
South,0.256,0.898,0.218,0.24,0.179
South,0.327,0.741,0.291,0.237,
South,0.399,0.684,0.289,0.162,
South,0.257,0.01,0.286,0.5,
South,0.242,0.01,0.301,0.5,
South,0.314,0.552,0.282,0.391,0.154
South,0.31,0.863,0.278,0.278,0.154
South,0.26,0.378,0.285,0.372,
South,0.257,0.44,0.285,0.386,
South,0.378,0.351,0.323,0.353,
South,0.395,0.6,0.327,0.5,
South,0.407,0.588,0.319,0.216,
South,0.412,0.455,0.299,0.229,
South,0.207,0.78,0.253,0.294,0.147
South,0.2,0.787,0.271,0.249,0.147
South,0.252,0.654,0.276,0.116,
South,0.304,0.884,0.289,0.19,
South,0.291,0.654,0.29,0.25,0.157
South,0.301,0.796,0.261,0.293,0.157
South,0.486,0.11,0.387,0.3,
South,0.488,0.094,0.37,0.2,
South,0.319,0.178,0.316,0.111,0.177
South,0.308,0.665,0.291,0.071,0.177
South,0.159,0.345,0.282,0.2,0.184
South,0.15,0.55,0.287,0.235,0.184
South,0.327,0.697,0.284,0.222,
South,0.315,0.696,0.301,0.227,
South,0.324,0.444,0.289,0.25,
South,0.309,0.365,0.293,0.357,
South,0.208,0.672,0.285,0.244,0.131
South,0.167,0.85,0.303,0.2,0.131
South,0.253,0.603,0.299,0.208,0.138
South,0.219,0.815,0.324,0.173,0.138
South,0.362,0.037,0.31,0.368,
South,0.35,0.474,0.309,0.3,
South,0.209,0.213,0.264,0.197,0.103
South,0.186,0.736,0.285,0.203,0.103
South,0.323,0.225,0.298,0.2,
South,0.313,0.687,0.294,0.267,
South,0.365,0.125,0.285,0.364,
South,0.369,0.639,0.284,0.381,
South,0.422,0.701,0.378,0.471,
South,0.395,0.404,0.381,0.444,
South,0.482,0.428,0.319,0.188,
South,0.489,0.215,0.317,0.2,
South,0.375,0.001,0.325,0.286,
South,0.391,0.507,0.317,0.333,
South,0.202,0.336,0.31,0.417,
South,0.23,0.565,0.317,0.435,
South,0.288,0.039,0.332,0.208,
South,0.294,0.698,0.343,0.2,
South,0.372,0.319,0.292,0.4,
South,0.375,0.305,0.318,0.429,
South,0.41,0.34,0.352,0.236,0.092
South,0.383,0.44,0.349,0.235,0.092
South,0.168,0.718,0.308,0.211,0.153
South,0.161,0.718,0.318,0.263,0.153
South,0.279,0.413,0.331,0.269,0.183
South,0.281,0.728,0.32,0.286,0.183
South,0.313,0.526,0.354,0.4,
South,0.32,0.538,0.334,0.25,
South,0.319,0.077,0.305,0.5,
South,0.306,0.322,0.293,0.467,
South,0.323,0.706,0.313,0.338,0.141
South,0.305,0.728,0.293,0.294,0.141
South,0.261,0.363,0.288,0.302,
South,0.27,0.877,0.293,0.343,
South,0.449,0.169,0.342,0.238,
South,0.437,0.426,0.338,0.222,
South,0.266,0.038,0.317,0.048,0.152
South,0.27,0.333,0.309,0.179,0.152
South,0.373,,0.319,0.333,
South,0.388,0.192,0.327,0.3,
South,0.375,0.619,0.325,0.371,
South,0.374,0.785,0.348,0.414,
South,0.36,0.683,0.315,0.185,
South,0.365,0.751,0.311,0.222,
South,0.363,0.198,0.323,0.074,
South,0.426,0.358,0.328,0.037,
South,0.374,0.121,0.316,0.3,
South,0.395,0.641,0.316,0.167,
South,0.395,0.317,0.313,0.3,
South,0.422,0.423,0.317,0.421,
South,0.207,0.446,0.326,0.125,
South,0.213,0.691,0.343,0.171,
South,0.457,0.25,0.327,0.4,
South,0.358,0.238,0.362,0.167,
South,0.235,0.379,0.315,0.194,
South,0.249,0.434,0.31,0.148,
South,0.291,0.584,0.277,0.061,0.137
South,0.298,0.822,0.282,0.125,0.137
South,0.281,0.692,0.358,0.294,0.182
South,0.34,0.772,0.362,0.291,0.182
South,0.232,0.657,0.317,0.234,0.119
South,0.241,0.755,0.335,0.231,0.119
South,0.106,0.843,0.267,0.158,0.121
South,0.109,0.813,0.291,0.111,0.121
South,0.246,0.164,0.289,0.273,
South,0.253,0.126,0.294,0.222,
South,0.155,0.767,0.256,0.2,0.105
South,0.149,0.811,0.268,0.132,0.105
South,0.35,0.503,0.337,0.222,
South,0.322,0.747,0.348,0.304,
South,0.255,0.516,0.259,0.282,0.124
South,0.256,0.568,0.271,0.278,0.124
South,0.309,0.418,0.306,0.323,
South,0.313,0.644,0.308,0.333,
South,0.18,0.269,0.313,0.318,
South,0.194,0.469,0.307,0.316,
South,0.3,0.321,0.264,0.276,
South,0.33,0.818,0.283,0.3,
South,0.334,0.44,0.307,0.167,
South,0.337,0.761,0.319,0.091,
South,0.362,0.571,0.323,0.364,
South,0.353,0.636,0.317,0.333,
South,0.429,0.383,0.312,0.0,
South,0.466,0.383,0.312,0.0,
South,0.325,1.0,0.292,0.111,
South,0.322,1.0,0.305,0.167,
South,0.437,0.003,0.365,0.143,
South,0.451,0.329,0.365,0.25,
South,0.446,0.637,0.33,0.261,0.174
South,0.436,0.643,0.332,0.211,0.174
South,0.274,0.731,0.331,0.222,0.125
South,0.242,0.877,0.327,0.222,0.125
South,0.285,0.158,0.29,0.286,
South,0.286,0.043,0.296,0.5,
South,0.382,0.225,0.338,0.25,
South,0.405,0.533,0.341,0.3,
South,0.404,0.301,0.322,0.111,
South,0.434,0.577,0.296,0.0,
South,0.374,0.329,0.34,0.189,
South,0.349,0.707,0.355,0.213,
South,0.328,0.889,0.317,0.263,
South,0.311,0.908,0.302,0.2,
South,0.485,0.05,0.346,0.231,
South,0.44,0.05,0.328,0.2,
South,0.461,0.556,0.372,0.263,
South,0.54,0.759,0.35,0.353,
South,0.4,0.157,0.348,0.3,
South,0.407,0.06,0.338,0.4,
South,0.449,0.353,0.352,0.0,
South,0.454,0.406,0.35,0.0,
South,0.353,0.233,0.315,0.292,
South,0.376,0.369,0.352,0.263,
South,0.411,,0.33,0.222,
South,0.41,0.324,0.326,0.273,
South,0.489,0.102,0.306,0.571,
South,0.406,0.121,0.3,0.556,
South,0.432,0.06,0.386,0.2,
South,0.446,0.008,0.354,0.167,
South,0.326,0.435,0.326,0.371,0.137
South,0.292,0.621,0.31,0.375,0.137
South,0.383,0.74,0.32,0.175,0.085
South,0.407,0.657,0.323,0.188,0.085
South,0.427,0.634,0.336,0.258,0.124
South,0.408,0.712,0.332,0.241,0.124
South,0.306,0.98,0.274,0.0,
South,0.293,0.998,0.27,0.0,
South,0.431,,0.348,0.111,
South,0.439,0.422,0.342,0.083,
South,0.321,0.59,0.309,0.154,0.102
South,0.335,0.805,0.299,0.247,0.102
South,0.45,0.013,0.326,0.0,
South,0.458,0.093,0.343,0.0,
South,0.335,0.1,0.32,0.238,
South,0.338,0.243,0.314,0.188,
South,0.304,1.0,0.266,0.2,
South,0.292,1.0,0.252,0.2,
South,0.353,0.618,0.344,0.217,
South,0.346,0.55,0.324,0.211,
South,0.277,0.418,0.32,0.209,0.099
South,0.257,0.575,0.334,0.231,0.099
South,0.219,0.411,0.283,0.294,0.11
South,0.203,0.458,0.3,0.318,0.11
South,0.396,0.383,0.341,0.263,
South,0.407,0.824,0.343,0.194,
South,0.425,0.141,0.372,0.375,
South,0.428,0.079,0.352,0.304,
South,0.367,0.063,0.347,0.263,
South,0.368,0.41,0.353,0.188,
South,0.346,0.46,0.334,0.303,
South,0.338,0.508,0.324,0.235,
South,0.325,0.003,0.311,0.0,
South,0.337,0.003,0.315,1.0,
South,0.475,0.076,0.316,0.5,
South,0.456,0.076,0.327,0.333,
South,0.282,0.622,0.286,0.304,
South,0.301,0.962,0.275,0.318,
South,0.283,0.76,0.284,0.299,0.11
South,0.275,0.869,0.288,0.297,0.11
South,0.375,,0.31,0.267,
South,0.395,0.019,0.329,0.182,
South,0.375,0.259,0.327,0.25,
South,0.375,0.653,0.337,0.333,
South,0.342,0.021,0.321,0.429,
South,0.348,0.268,0.34,0.385,
South,0.334,0.151,0.316,0.143,
South,0.344,0.514,0.342,0.143,
West,0.272,0.688,0.241,0.47,0.218
West,0.258,0.734,0.245,0.452,0.218
West,0.153,0.928,0.218,0.331,0.187
West,0.122,0.967,0.221,0.344,0.187
West,0.177,0.84,0.217,0.535,0.212
West,0.156,0.895,0.214,0.513,0.212
West,0.168,0.794,0.233,0.51,0.205
West,0.138,0.966,0.227,0.467,0.205
Midwest,0.149,0.727,0.318,0.053,0.188
Midwest,0.156,0.722,0.323,0.053,0.188
Midwest,0.207,0.101,0.338,0.143,
Midwest,0.204,0.053,0.325,0.286,
Midwest,0.192,0.709,0.28,0.368,0.24
Midwest,0.212,0.675,0.295,0.381,0.24
Midwest,0.24,0.701,0.3,0.294,0.233
Midwest,0.253,0.679,0.295,0.176,0.233
Midwest,0.179,0.64,0.341,0.143,0.174
Midwest,0.16,0.629,0.326,0.111,0.174
Midwest,0.122,0.422,0.297,0.333,0.189
Midwest,0.116,0.684,0.3,0.333,0.189
Midwest,0.166,0.657,0.285,0.245,0.192
Midwest,0.203,0.664,0.286,0.271,0.192
Midwest,0.124,0.774,0.32,0.167,0.218
Midwest,0.155,0.789,0.303,0.273,0.218
Midwest,0.074,0.755,0.281,0.125,0.241
Midwest,0.062,0.796,0.304,0.25,0.241
Midwest,0.17,0.618,0.3,0.333,0.195
Midwest,0.144,0.583,0.312,0.444,0.195
Midwest,0.192,0.81,0.274,0.167,0.191
Midwest,0.175,0.831,0.299,0.188,0.191
Midwest,0.129,0.566,0.272,0.0,0.154
Midwest,0.128,0.535,0.279,0.111,0.154
Midwest,0.167,0.555,0.304,0.273,0.273
Midwest,0.161,0.732,0.305,0.3,0.273
Midwest,0.117,0.779,0.317,0.143,0.201
Midwest,0.114,0.809,0.3,0.133,0.201
Midwest,0.204,0.774,0.354,0.231,0.186
Midwest,0.213,0.756,0.319,0.188,0.186
Midwest,0.107,0.625,0.354,0.071,0.212
Midwest,0.09,0.747,0.32,0.133,0.212
Midwest,0.188,0.827,0.294,0.125,0.184
Midwest,0.158,0.898,0.297,0.182,0.184
Midwest,0.145,0.74,0.277,0.154,0.187
Midwest,0.155,0.633,0.334,0.091,0.187
Midwest,0.141,0.546,0.306,0.0,0.295
Midwest,0.146,0.664,0.303,0.0,0.295
Midwest,0.196,0.693,0.313,0.222,
Midwest,0.205,0.685,0.287,0.0,
Midwest,0.158,0.767,0.296,0.071,0.181
Midwest,0.166,0.744,0.285,0.0,0.181
Midwest,0.179,0.706,0.308,0.172,0.333
Midwest,0.179,0.672,0.31,0.208,0.333
Midwest,0.203,0.744,0.3,0.188,0.235
Midwest,0.196,0.756,0.302,0.226,0.235
Midwest,0.235,0.729,0.288,0.35,0.162
Midwest,0.186,0.741,0.301,0.333,0.162
Midwest,0.073,0.887,0.294,0.15,0.19
Midwest,0.067,0.78,0.306,0.231,0.19
Midwest,0.336,0.305,0.32,0.375,0.191
Midwest,0.288,0.495,0.308,0.5,0.191
Midwest,0.301,0.619,0.309,0.222,
Midwest,0.297,0.71,0.301,0.222,
Midwest,0.126,0.653,0.345,0.125,0.221
Midwest,0.135,0.667,0.373,0.235,0.221
Midwest,0.275,0.778,0.323,0.238,0.192
Midwest,0.222,0.839,0.323,0.235,0.192
Midwest,0.121,0.756,0.285,0.0,0.167
Midwest,0.117,0.909,0.31,0.0,0.167
Midwest,0.152,0.7,0.272,0.207,0.308
Midwest,0.145,0.766,0.286,0.192,0.308
Midwest,0.187,0.713,0.321,0.286,0.28
Midwest,0.207,0.827,0.323,0.333,0.28
Midwest,0.19,0.78,0.349,0.182,0.222
Midwest,0.187,0.74,0.401,0.133,0.222
Midwest,0.174,0.755,0.31,0.25,0.169
Midwest,0.176,0.725,0.331,0.222,0.169
Midwest,0.176,0.69,0.31,0.133,0.159
Midwest,0.206,0.708,0.314,0.333,0.159
Midwest,0.173,0.323,0.333,0.235,0.121
Midwest,0.196,0.611,0.332,0.357,0.121
Midwest,0.19,0.576,0.295,0.421,
Midwest,0.195,0.598,0.291,0.389,
Midwest,0.08,0.587,0.317,0.182,0.177
Midwest,0.085,0.728,0.306,0.286,0.177
Midwest,0.146,0.647,0.328,0.375,0.167
Midwest,0.137,0.545,0.352,0.333,0.167
Midwest,0.168,0.835,0.317,0.176,0.15
Midwest,0.159,0.831,0.282,0.182,0.15
Midwest,0.138,0.552,0.261,0.25,0.196
Midwest,0.139,0.656,0.312,0.357,0.196
Midwest,0.187,0.714,0.338,0.059,0.186
Midwest,0.185,0.773,0.344,0.063,0.186
Midwest,0.16,0.424,0.316,0.261,0.197
Midwest,0.146,0.551,0.296,0.25,0.197
Midwest,0.206,0.72,0.31,0.263,0.18
Midwest,0.187,0.795,0.337,0.263,0.18
Midwest,0.184,0.742,0.298,0.0,0.217
Midwest,0.167,0.768,0.313,0.25,0.217
Midwest,0.165,0.603,0.336,0.556,0.202
Midwest,0.164,0.698,0.345,0.545,0.202
Midwest,0.152,0.753,0.309,0.071,0.232
Midwest,0.159,0.739,0.304,0.0,0.232
Midwest,0.106,0.682,0.291,0.2,0.179
Midwest,0.105,0.736,0.308,0.222,0.179
Midwest,0.211,0.678,0.307,0.5,0.253
Midwest,0.171,0.773,0.311,0.471,0.253
Midwest,0.136,0.738,0.351,0.212,0.192
Midwest,0.135,0.797,0.339,0.13,0.192
Midwest,0.224,0.689,0.302,0.267,
Midwest,0.22,0.65,0.278,0.235,
Midwest,0.126,0.861,0.24,0.246,0.224
Midwest,0.127,0.84,0.235,0.259,0.224
Midwest,0.144,0.64,0.285,0.333,0.316
Midwest,0.133,0.655,0.306,0.308,0.316
Midwest,0.193,0.427,0.336,0.0,0.224
Midwest,0.175,0.383,0.313,0.25,0.224
Midwest,0.14,0.625,0.311,0.375,0.158
Midwest,0.14,0.654,0.315,0.25,0.158
Midwest,0.224,0.78,0.353,0.147,0.261
Midwest,0.232,0.761,0.361,0.219,0.261
Midwest,0.112,0.827,0.279,0.281,0.194
Midwest,0.121,0.838,0.279,0.328,0.194
Midwest,0.164,0.442,0.326,0.5,0.216
Midwest,0.157,0.676,0.321,0.533,0.216
Midwest,0.253,0.678,0.319,0.077,
Midwest,0.236,0.701,0.305,0.0,
Midwest,0.116,0.647,0.3,0.333,0.162
Midwest,0.102,0.616,0.318,0.4,0.162
Midwest,0.105,0.556,0.308,0.4,0.143
Midwest,0.101,0.628,0.331,0.333,0.143
Midwest,0.181,0.634,0.272,0.0,0.076
Midwest,0.179,0.713,0.287,0.05,0.076
Midwest,0.122,0.808,0.298,0.167,0.105
Midwest,0.11,0.838,0.3,0.267,0.105
Midwest,0.186,0.679,0.32,0.238,0.16
Midwest,0.196,0.739,0.324,0.222,0.16
Midwest,0.141,0.557,0.283,0.12,0.209
Midwest,0.136,0.611,0.29,0.154,0.209
Midwest,0.163,0.7,0.274,0.143,0.134
Midwest,0.157,0.7,0.281,0.143,0.134
Midwest,0.203,0.751,0.274,0.125,0.181
Midwest,0.191,0.714,0.293,0.118,0.181
Midwest,0.191,0.331,0.338,0.222,0.197
Midwest,0.183,0.709,0.342,0.286,0.197
Midwest,0.204,0.806,0.322,0.067,0.116
Midwest,0.223,0.809,0.324,0.1,0.116
Midwest,0.18,0.723,0.34,0.143,0.207
Midwest,0.185,0.713,0.36,0.083,0.207
Midwest,0.125,0.654,0.305,0.125,0.127
Midwest,0.122,0.766,0.287,0.286,0.127
Midwest,0.138,0.628,0.298,0.0,
Midwest,0.142,0.62,0.29,0.0,
Midwest,0.218,0.759,0.322,0.167,0.15
Midwest,0.248,0.795,0.33,0.25,0.15
Midwest,0.15,0.745,0.283,0.0,0.251
Midwest,0.145,0.766,0.293,0.0,0.251
Midwest,0.102,0.567,0.334,0.368,0.258
Midwest,0.103,0.752,0.318,0.353,0.258
Midwest,0.188,0.433,0.301,0.667,0.249
Midwest,0.168,0.697,0.31,0.667,0.249
Midwest,0.169,0.833,0.282,0.245,0.193
Midwest,0.16,0.922,0.282,0.273,0.193
Midwest,0.175,0.833,0.336,0.213,0.216
Midwest,0.189,0.824,0.35,0.233,0.216
Midwest,0.143,0.69,0.294,0.04,0.166
Midwest,0.142,0.691,0.294,0.059,0.166
Midwest,0.271,0.465,0.3,0.167,
Midwest,0.285,0.602,0.318,0.167,
Midwest,0.147,0.742,0.292,0.25,0.264
Midwest,0.143,0.78,0.29,0.25,0.264
Midwest,0.173,0.914,0.285,0.306,0.239
Midwest,0.199,0.864,0.31,0.313,0.239
Midwest,0.122,0.208,0.319,0.333,0.248
Midwest,0.12,0.687,0.299,0.455,0.248
Midwest,0.094,0.614,0.274,0.19,0.136
Midwest,0.097,0.765,0.267,0.211,0.136
Midwest,0.116,0.779,0.251,0.105,0.18
Midwest,0.105,0.796,0.254,0.091,0.18
Midwest,0.186,0.837,0.289,0.333,0.236
Midwest,0.17,0.75,0.319,0.5,0.236
Midwest,0.19,0.321,0.312,0.167,
Midwest,0.18,0.307,0.304,0.25,
Midwest,0.209,0.848,0.331,0.0,
Midwest,0.201,0.875,0.346,0.0,
Midwest,0.266,0.525,0.302,0.222,
Midwest,0.263,0.57,0.306,0.143,
Midwest,0.218,0.629,0.304,0.091,0.14
Midwest,0.245,0.761,0.312,0.05,0.14
Midwest,0.115,0.598,0.31,0.179,0.202
Midwest,0.091,0.747,0.287,0.148,0.202
Midwest,0.153,0.541,0.304,0.25,0.143
Midwest,0.148,0.759,0.3,0.133,0.143
Midwest,0.272,0.591,0.314,0.0,
Midwest,0.265,0.529,0.321,0.0,
Midwest,0.205,0.706,0.287,0.061,0.193
Midwest,0.221,0.711,0.278,0.125,0.193
Midwest,0.163,0.834,0.287,0.0,0.144
Midwest,0.156,0.812,0.325,0.0,0.144
Midwest,0.107,0.718,0.261,0.167,0.21
Midwest,0.116,0.747,0.252,0.273,0.21
Midwest,0.219,0.851,0.31,0.372,0.203
Midwest,0.227,0.934,0.316,0.386,0.203
Midwest,0.139,0.641,0.297,0.188,
Midwest,0.161,0.67,0.303,0.2,
Midwest,0.176,0.831,0.293,0.2,0.216
Midwest,0.168,0.82,0.333,0.375,0.216
West,0.148,0.734,0.235,0.244,0.16
West,0.147,0.919,0.244,0.244,0.16
West,0.31,0.26,0.273,0.083,0.172
West,0.268,0.303,0.285,0.0,0.172
West,0.199,0.627,0.292,0.429,0.127
West,0.205,0.807,0.29,0.417,0.127
West,0.202,0.434,0.266,0.286,0.047
