Region,Children in poverty,Access to exercise opportunities,Adult obesity,Alcohol-impaired driving deaths,Excessive drinking
South,0.251,0.708,0.302,0.244,0.108
South,0.512,0.112,0.389,0.545,0.182
South,0.526,0.785,0.387,0.478,0.182
South,0.341,0.063,0.385,0.368,0.075
South,0.363,0.072,0.401,0.36,0.075
South,0.335,0.31,0.36,0.386,0.11
South,0.348,0.603,0.353,0.262,0.11
South,0.348,0.151,0.342,0.25,0.141
South,0.341,0.269,0.341,0.226,0.141
South,0.365,0.524,0.365,0.282,
South,0.34,0.646,0.342,0.253,
South,0.123,0.788,0.296,0.204,0.126
South,0.112,0.762,0.315,0.153,0.126
South,0.21,0.395,0.329,0.333,0.099
South,0.207,0.688,0.317,0.333,0.099
South,0.45,0.196,0.401,0.4,
South,0.488,0.341,0.404,0.318,
South,0.348,0.431,0.384,0.292,0.105
South,0.289,0.66,0.38,0.283,0.105
South,0.38,0.193,0.351,0.238,0.161
South,0.363,0.656,0.356,0.179,0.161
South,0.257,0.575,0.332,0.306,0.124
South,0.234,0.752,0.329,0.261,0.124
South,0.282,0.478,0.36,0.223,0.083
South,0.322,0.498,0.334,0.174,0.083
South,0.288,0.088,0.359,0.143,
South,0.292,0.157,0.361,0.158,
South,0.51,0.058,0.416,0.29,0.072
South,0.501,0.291,0.428,0.357,0.072
South,0.403,0.666,0.357,0.289,0.111
South,0.339,0.785,0.334,0.265,0.111
South,0.286,0.437,0.354,0.313,0.115
South,0.296,0.547,0.351,0.357,0.115
South,0.323,0.473,0.38,0.476,
South,0.354,0.554,0.361,0.381,
South,0.289,0.326,0.285,0.139,0.137
South,0.27,0.786,0.293,0.2,0.137
South,0.19,0.64,0.276,0.319,0.14
South,0.171,0.843,0.272,0.295,0.14
South,0.287,0.469,0.273,0.438,0.064
South,0.265,0.485,0.263,0.484,0.064
South,0.37,0.653,0.34,0.7,
South,0.398,0.668,0.347,0.571,
South,0.262,0.265,0.342,0.143,
South,0.259,0.096,0.352,0.188,
South,0.306,0.378,0.287,0.471,0.105
South,0.367,0.487,0.335,0.438,0.105
South,0.495,0.285,0.368,0.421,
South,0.466,0.095,0.385,0.438,
South,0.32,0.516,0.326,0.25,
South,0.311,0.771,0.325,0.233,
South,0.319,0.498,0.32,0.2,
South,0.295,0.296,0.317,0.222,
South,0.276,0.685,0.288,0.462,
South,0.264,0.713,0.28,0.474,
South,0.257,0.012,0.349,0.067,
South,0.26,0.012,0.354,0.125,
South,0.343,0.344,0.335,0.414,
South,0.321,0.537,0.37,0.467,
South,0.332,0.298,0.357,0.2,
South,0.331,0.436,0.397,0.286,
South,0.248,0.606,0.341,0.206,0.095
South,0.289,0.634,0.34,0.212,0.095
South,0.331,0.306,0.359,0.256,0.136
South,0.279,0.658,0.377,0.265,0.136
South,0.352,0.588,0.381,0.317,0.118
South,0.361,0.623,0.382,0.409,0.118
South,0.301,0.245,0.365,0.25,0.126
South,0.313,0.424,0.375,0.333,0.126
South,0.367,0.398,0.33,0.273,
South,0.369,0.413,0.325,0.444,
South,0.424,0.438,0.369,0.0,
South,0.475,0.39,0.365,0.048,
South,0.33,0.171,0.323,0.158,
South,0.327,0.577,0.319,0.125,
South,0.168,0.401,0.294,0.32,0.148
South,0.197,0.714,0.3,0.247,0.148
South,0.272,0.507,0.336,0.435,
South,0.312,0.692,0.352,0.381,
South,0.363,0.175,0.311,0.2,
South,0.401,0.317,0.319,0.211,
South,0.322,0.658,0.283,0.384,0.174
South,0.351,0.902,0.309,0.408,0.174
South,0.187,0.221,0.361,0.107,0.192
South,0.215,0.288,0.358,0.133,0.192
South,0.261,0.66,0.378,0.213,0.108
South,0.253,0.745,0.339,0.175,0.108
South,0.431,0.363,0.363,0.35,0.095
South,0.362,0.609,0.391,0.333,0.095
South,0.294,0.194,0.334,0.138,0.097
South,0.298,0.379,0.326,0.14,0.097
South,0.288,0.443,0.357,0.238,
South,0.353,0.494,0.369,0.278,
South,0.266,0.513,0.298,0.38,0.099
South,0.272,0.515,0.309,0.4,0.099
South,0.358,0.297,0.303,0.083,
South,0.314,0.469,0.33,0.083,
South,0.39,0.299,0.371,0.324,
South,0.403,0.228,0.411,0.393,
South,0.346,0.387,0.4,0.436,0.148
South,0.38,0.67,0.386,0.394,0.148
South,0.271,0.515,0.349,0.31,0.112
South,0.325,0.526,0.324,0.321,0.112
South,0.403,0.124,0.309,0.476,
South,0.403,0.161,0.325,0.409,
South,0.343,0.429,0.38,0.286,
South,0.336,0.416,0.334,0.333,
South,0.467,0.288,0.346,0.381,0.093
South,0.517,0.428,0.354,0.353,0.093
South,0.326,0.548,0.329,0.167,
South,0.303,0.384,0.338,0.188,
South,0.277,0.17,0.329,0.333,
South,0.283,0.619,0.312,0.19,
South,0.314,0.652,0.332,0.455,0.111
South,0.304,0.602,0.347,0.3,0.111
South,0.181,0.353,0.312,0.314,0.147
South,0.177,0.642,0.335,0.355,0.147
South,0.322,0.507,0.328,0.321,0.173
South,0.302,0.519,0.333,0.357,0.173
South,0.371,0.379,0.326,0.182,0.121
South,0.36,0.601,0.309,0.087,0.121
South,0.319,0.518,0.336,0.453,0.129
South,0.32,0.646,0.327,0.396,0.129
South,0.351,0.367,0.391,0.308,0.054
South,0.39,0.346,0.387,0.364,0.054
South,0.428,0.554,0.351,0.407,
South,0.42,0.554,0.358,0.345,
South,0.367,0.962,0.296,0.083,
South,0.375,0.975,0.306,0.0,
South,0.358,0.379,0.344,0.292,
South,0.325,0.379,0.329,0.333,
South,0.41,0.6,0.363,0.071,0.191
South,0.396,0.6,0.36,0.091,0.191
South,0.337,0.163,0.398,0.304,0.125
South,0.436,0.437,0.378,0.179,0.125
South,0.269,0.276,0.338,0.368,
South,0.275,0.274,0.331,0.421,
South,0.543,0.58,0.38,0.478,0.14
South,0.53,0.127,0.4,0.45,0.14
South,0.342,0.43,0.336,0.385,
South,0.34,0.599,0.351,0.5,
